序號,地區別,縣市,觀光工廠名稱,地址,觀光工廠預約電話,網址,經緯度(度)Google地圖,102簡介(約90字內)
1,北部,宜蘭市,亞典蛋糕密碼館,宜蘭縣宜蘭市梅洲二路122號,03-9286777,http://www.rden.com.tw,"""24.781036,121.732097""",亞典蛋糕密碼館，館內規劃有展示區、導覽簡報區、現場烘焙區及DIY區… 等。透過館內的介紹，可以了解蛋糕的源由與製程。除了享受亞典蛋糕密碼館為您帶來的「五心級」服務外，更讓您擁有前所未有的感動。
2,北部,宜蘭市,菌寶貝博物館,宜蘭縣宜蘭市梅洲一路22號,03-9281168,http://www.bio-nin.com.tw,"""24.776214,121.735223""",全台唯一以微生物為主體兼具教育性與娛樂性的觀光工廠，提供完整微生物的相關知識導覽解說，有國寶級牛樟芝、鎮館之寶3500年的牛樟樹雕刻品，全台首創黃金蟲草接菌和保養品DIY體驗。
3,北部,宜蘭市,臺灣菸酒(股)公司宜蘭酒廠觀光工廠,宜蘭縣宜蘭市舊城西路3號,03-9355526#461,http://event.ttl-eshop.com.tw/yl/,"""24.75695,121.749523""",1909年創立，是台灣最老的酒廠，生產紅露酒、紅麴香腸、紅糟醬等產品，融入在地特色；廠內日治時期老建築，體現百年歷史縮影，設有酒文物館、紅露藝廊、展售中心等完善休憩設施。
4,北部,宜蘭市,橘之鄉蜜餞觀光工廠,宜蘭縣宜蘭市梅洲二路33號,03-9285758,http://www.agrioz.com.tw,"""24.779943,121.736927""",台灣第一家蜜餞觀光工廠，產品不做化學添加及防腐劑，忠實呈現自然果香，遊客可用視覺、味蕾感受台灣四季水果的變幻滋味，透過參觀工廠能直接了解橘之鄉的堅持與用心。
5,北部,宜蘭縣,宜蘭餅發明館,宜蘭縣蘇澳鎮海山西路369號,03-9905999,http://www.i-cake.com.tw,"""24.614475,121.829157""",館內以濃厚中國風營造婚嫁習俗喜慶氛圍，展示各式餅印，以靜、動態多媒體呈現製餅達人劉鐙徽發明宜蘭餅的故事，開放參觀透明化之生產線，大型DIY教室可體驗親手製作超薄牛舌餅的樂趣。
6,北部,宜蘭縣,金車威士忌酒廠,宜蘭縣員山鄉員山路二段326號,03-9229000#1104,http://www.kavalanwhisky.com.tw,"""24.713691,121.69179""",金車威士忌酒廠是台灣第一座威士忌酒廠，以百年酒廠為目標，運用中央山脈與雪山山脈的清澈水源，打造第一支台灣自行生產的威士忌。口感醇厚、風味迷人，以「KAVALAN」為品牌，榮耀宜蘭。
7,北部,宜蘭縣,博士鴨觀光工廠,宜蘭縣五結鄉福興村新五路1-1號,03-9606051、2,http://www.dr-duck.com.tw/,"""24.682497,121.785123""",「博士鴨」以鴨胸肉研發成各種特色產品，包裝、設計、製造過程，風味調製等皆是兼具色香味美之傑作，除鴨賞外有鴨排、鵝肝卷、博多卷、鵝醬火腿多元化產品，宜蘭唯一鴨賞觀光工廠，歡迎蒞臨!!
8,北部,宜蘭縣,蜡藝彩繪館,宜蘭縣蘇澳鎮德興六路7號,03-9907101,http://www.lucky-art.com.tw,"""24.630829,121.82453""",台灣碩果僅存的蠟筆工廠之一，生產研發的人體彩繪顏料，為歐美各國重大賽事及嘉年華會廣泛使用；彩繪人文與藝術是父母最優質的選擇，能藉由彩繪DIY激發潛能，更是極富寓教於樂的色彩創意天堂。
9,北部,基隆市,一太e衛廚觀光工廠,基隆市安樂區大武崙工業區武訓街51號,02-24342111#503,http://www.itai.com.tw,"""25.147263,121.699609""",國內首家結合教育、知識、文化與觀光的全方位衛廚觀光工廠，展售兼具環保、樂活最新時尚科技衛廚精品，附設亞洲唯一衛浴文化館，展示東西方衛浴文化演進，歡迎來趟豐富知性之旅，絕對不虛此行。
10,北部,新北市,三峽農特產文化館,新北市三峽區正義街18號,02-26723868,http://www.chinafoods.com.tw,"""24.919348,121.369459""",本館運用本地有名之綠竹筍、茶葉為材料，以專業的產銷連貫監督管理體系，確保耕作、施肥、用藥、加工過程的安全衛生，並研發地方伴手禮及特色風味餐飲，提升品牌知名度及本地農產品之附加價值。
11,北部,新北市,大黑松小倆口牛軋糖創意博物館,新北市土城區自強街31之2號,02-22687222,http://www.9420.com.tw,"""24.97193,121.432732""",參觀人數已突破120萬人、65個國家、2萬台車次，館內展示台灣早期牛軋糖的製程、婚禮用品，以「台灣古早味風格」呈現，規劃「孝親大道」，期望喚起年輕E世代人「飲水思源」與「孝親」的中國傳統美德。
12,北部,新北市,工研益壽多文化館,新北市淡水區埤島里46-7號,02-27781981,http://www.kongyen.com.tw,"""25.19967,121.45515""",工研酢於1941年誕生，是臺灣第一間釀酢工廠，從白酢開始生產，逐步研發烏酢、健康酢、味噌、咖哩、各式醬料及冬蟲夏草等多樣化產品。至今堅持以「天然純釀」的原則，誠信經營！
13,北部,新北市,手信坊創意和菓子文化館,新北市土城區國際路55號,02-82620506,http://www.3ssf.com.tw,"""24.977821,121.466603""",手信坊將日本和菓子不同的多元文化加以融入，創造屬於「臺灣本土新一代的菓子」，我們稱為 『創意和菓子』。DIY製菓學園邀請大家一起親身體驗和菓子的極致之美。
14,北部,新北市,王鼎時間科藝體驗館,新北市土城區大暖路136號,02-22682999#12,http://www.atopwatch.com/factory/,"""24.955976,121.423672""",王鼎是以時間為主題的時間科藝體驗館，積極轉型創立ATOP World Time世界時區錶更獲得世界產品設計大賞。傳達計時器的歷史與演進、專利技術展現、鐘錶製程參觀與實際動手組裝體驗，是一座融合時間知識、科學與藝術的時間殿堂。
15,北部,新北市,台灣不二衛生套知識館,新北市淡水區埤島里 46-3 號,02-37655005,http://www.fujicondom.com,"""25.198772,121.45483""",台灣不二衛生套知識館的目標是開放製程檢驗、實驗室，配合體動遊戲互動、DIY等，提供觀光知性娛樂休閒之外，期望更能對社會貢獻教育的另一管道。
16,北部,新北市,玉美人孕婦裝觀光工廠,新北市板橋區四川路２段16巷10號5樓,02-89669762#15,http://www.ymr.com.tw,"""24.997297,121.456266""",創立於1956年，透過生產線參觀了解孕婦裝製作過程，提供親子互動體驗，針對懷孕週期的知識講解，孕婦模擬體驗衣的實際體驗，在參訪過程中更能體會身懷六甲的辛苦感受，營造甜蜜負擔的幸福氛圍。
17,北部,新北市,光淙金工藝術館,新北市林口區粉寮路一段104號,02-86014430,http://www.jewelrymuseumtaiwan.com,"""25.081965,121.40006""",呈現珠寶產業歷史文化、開放製程參觀、介紹珠寶知識；在精品區遊客可盡情選購設計感十足的飾品。最受喜愛的飾品DIY，可製作專屬的飾品，為另一半做誠意十足的小禮物，都是別處無法體驗的活動。
18,北部,新北市,吳福洋襪子故事館,新北市林口區工二工業區工九路3號,02-26035008,http://www.wufuyang.com,"""25.075814, 121.401296""",吳福洋襪子故事館保存台灣織襪產業與企業歷史的珍貴史料，現場展示織襪流程，強調知識與趣味性，帶您深入了解襪類織品；搭配季節性主題的DIY課程，讓全家一同體驗百年前傳統手搖織襪的樂趣！
19,北部,新北市,宏洲磁磚觀光工廠,新北市鶯歌區中正三路230巷16號,02-86782788,http://www.hjtilemuseum.com.tw,"""24.939779,121.329963""",宏洲磁磚觀光工廠是一片磁磚時間旅行的活體工廠，以鶯歌百年陶瓷風華宏洲再現為職志，繽紛彩繪、快樂拼貼、趣味轉印等創意陶藝活動，更增添寓教於樂的知性之旅。
20,北部,新北市,琉傳天下藝術館,新北市淡水區口湖子1-7號,02-26256972,http://www.glastory.com,"""25.190622,121.477751""",分享琉璃知識、導覽製程、吹製表演秀和DIY體驗活動，參觀過程融合豐富的產業知識、高度的技術展現、美學藝品賞析、創作個人專屬的作品，各年齡層遊客均可以體驗一趟美學知性之旅。                 
21,北部,新北市,茶山房肥皂文化體驗館,新北市三峽區白雞路64之11號,02-26714400,http://www.teasoap.com.tw,"""24.912374,121.384082""",全台唯一生產浮水肥皂的工廠，歷經五十多年歲月首度公開神祕的熱煮製皂法、嚴選物料等製程，提供趣味導覽、肥皂歷史介紹、地方文化物品展示、生產線參觀，與寓教於樂的手製肥皂DIY課程等。
22,北部,新北市,許新旺陶瓷紀念博物館,新北市鶯歌區尖山埔路81號,02-26789571,http://www.shus.com.tw,"""24.950898,121.347805""",位於鶯歌尖山埔，是一座兼具教育、文化、觀光、設計的多功能博物館，可以透過介紹來充分了解鶯歌在地的發展史，也可體驗製陶的趣味及挑戰，不分年齡，皆可玩的盡興。
23,北部,新北市,幾分甜幸福城堡,新北市五股區五工六路24號,02-22902222,http://www.howsweet.com.tw,"""25.063311,121.448758""",打造台灣伴手禮形象，是幾分甜追求的目標，獲得國際級HACCP、ISO22000食品安全雙重認證，並延聘知名西點、麵包師駐廠指導，提供消費者更多商品選擇，幾分甜期盼為台灣伴手禮市場注入新的生命。
24,北部,新北市,登峰魚丸博物館,新北市淡水區中正東路1段3巷43號8樓,02-26253312,http://www.fish-ball.com.tw,"""25.170097,121.439716""",從事魚丸行業一甲子，開創「淡水魚丸」、首創淡水魚酥，設立台灣第一家魚丸博物館，介紹魚丸飲食文化，推廣漁業及海洋知識，提供魚丸、魚漿創意DIY活動，讓遊客體驗親手捏出的魚丸趣味。
25,北部,新北市,維格餅家 鳳梨酥夢工場,新北市五股區成泰路一段87號,02-22919122,http://www.taiwan-vigor.com.tw,"""25.068739,121.435211""",藉由鳳梨的「旺來」意象，將最新互動科技體驗與鳳梨酥DIY導入，加深寶島水果印象，延伸出對其它特色產品之認同。透過充滿樂趣的參觀行程讓貴賓開心地享受台灣鳳梨滿滿好運與美味糕點。
26,北部,桃園縣,中天健康生活館,桃園縣龍潭鄉高楊北路81號,03-4710888,http://www.microbio.com.tw/01.htm,"""24.839645,121.20659""",經營項目有生技新藥與功效保健營養品，從原料篩選、製程與品質管制到包裝設計等環節，均遵循科學化、標準化、現代化的嚴謹規範，連續五年榮獲國家生技醫療品獎「營養保健食品類」第一名的殊榮。
27,北部,桃園縣,白木屋品牌探索館,桃園縣楊梅市高獅路813巷22弄6號,03-4965757,http://www.wwhouse.com.tw,"""24.927715,121.164381""",座落於楊梅幼獅工業區內，堅持以創意帶動品味，館內每個角落都佈置美輪美奐，透過玻璃窗見證白木屋商品的製作過程。傳遞幸福的場館，有趣的DIY課程。好吃、好玩、好拍照的好所在，幸福歡樂的奇妙旅程從白木屋品牌探索館開始。
28,北部,桃園縣,江記豆腐乳文化館,桃園縣中壢市月眉路2段248巷85號,03-4986018,http://www.xpl.com.tw,"""25.006634,121.185164""",文化館成立源自於江常涵董事長對家族情感與豆腐乳的美味回憶。歷經一甲子的歲月，記錄著對豆腐乳的情感，讓大眾在品嚐和參觀的同時，亦能感受所堅持的陳釀美味和文化的傳承。
29,北部,桃園縣,宏亞食品巧克力觀光工廠,桃園縣八德市介壽路二段巧克力街底,03-3656555,http://www.republicofchocolate.com.tw,"""24.943325,121.297187""",巧克力共和國是一座以巧克力為主題的觀光工廠，建築設計、館內主題設計皆以巧克力為主題，這裡也提供豐富的巧克力相關知識，亦可以DIY創作巧克力，為一寓教於樂、適合親子休閒娛樂的絕佳去處。
30,北部,桃園縣,東和音樂體驗館,桃園縣大溪鎮信義路226號,03-3882215#210,http://www.music4fun.com.tw,"""24.886028,121.29493""",館內透過遊戲、DIY及親身體驗的方式，啟發大眾對音樂的興趣、認識樂器與音樂，各年齡層遊客均可以一起跟著東和進入音樂的世界，體驗享受音樂的愉悅吧!
31,北部,桃園縣,南僑桃園觀光體驗工廠,桃園縣龜山鄉興邦路35號,03-2630264,http://www.namchow.com.tw,"""24.983481,121.32509""",南僑1952年成立至今，從“水晶肥皂”延伸至以米、油、麵的食品產業。廠內有歷史文物館藏、油脂走廊、水晶肥皂體驗、寶萊納啤酒、點水樓餐廳，特色餐點DIY，及泰國文物館、四面佛禮讚區。
32,北部,桃園縣,郭元益糕餅博物館,桃園縣楊梅市幼獅工業區青年路9巷1號,03-4962201#1,http://www.kuos.com/museum/,"""24.928066,121.167525""",糕餅博物館位於桃園生產基地，在漢風的優良觀光工廠中，體驗悠閒人文氣息，一覽糕餅製作過程。綠標生活館為台灣食品業第一座黃金級綠建築，結合綠氧DIY教學與樂活休閒新體驗，推廣環境教育。
33,北部,桃園縣,雅聞魅力博覽館,桃園縣楊梅市中山北路1段21巷1號,03-4883800、03-4780201#56、88,http://www.arwin.com.tw,"""24.907143,121.149866""",集合旗下化妝品、保健食品、內衣與SPA等四大產業的觀光工廠，以茅草屋、石雕等元素打造的峇里島風情，混著輕快的音樂，噴灑帶有香氣精油的水霧，讓人猶如親臨南國一般心曠神怡！
34,北部,桃園縣,義美生產‧生態‧生活廠區,桃園縣蘆竹鄉南工路一段11號,03-3117525,http://www.imeifoods.com.tw,"""25.059509,121.278636""",創立於西元1934年，七十多年來，一步一腳印，「真誠實在」的製餅精神始終如一，從日常生活、出生、婚俗、節慶、壽慶到祭祀，陪著台灣人度過人生每個重要里程。
35,北部,桃園縣,臺灣菸酒(股)公司桃園觀光酒廠,桃園縣龜山鄉文化一路55號,03-3283001 #340、380、433,http://event.ttl-eshop.com.tw/lk/,"""25.056168,121.375231""",桃園酒廠為北部地區產能最大、設備最現代化的米糧釀造酒生產工廠。廠內有產品推廣中心，開放民眾參觀並了解製酒過程與歷史，與鄰近其他景點連結，形成地方產業文化觀光特色主題，帶動產業觀光提昇觀光旅遊的豐富性。
36,北部,桃園縣,麗嬰房采衣館,桃園縣蘆竹鄉海湖村海山中街8號3樓,03-3544417,http://www.facebook.com/lescolorful?fref=ts,"""25.106695,121.260003""",以「孩子是我們一輩子的事業」為經營理念，提供開創婦幼食衣育樂相關的高品質商品；旨在傳承織品產業文化、培育設計軟實力，以「一件衣服的旅程」為題，趣味體驗講訴衣服從設計到製造的流程。
37,北部,桃園縣,祥儀機器人夢工廠,桃園縣桃園市桃鶯路461號,03-3623452,http://www.shayyerobot.com.tw,"""24.282689, 121.192685""",祥儀企業成立於1980年，從傳統齒輪產業起家，因為重視研發，掌握機器人關鍵零組件技術，一舉從傳統產業跨足創新科技產業，致力於機器人應用領域。配合桃園航空的啟動與推廣智能化產業，打造了台灣首座最具互動性的機器人主題觀光工廠，要讓您體驗超越想像的機器人之夢。
38,北部,桃園縣,卡司．蒂菈樂園,桃園縣蘆竹鄉宏竹村大竹北路90-66號,03-2551999,http://www.castella-land.com.tw/,"""25.031860, 121.253461""",卡司蒂菈樂園.是桃園首座文創觀光工廠.不但完整呈現金格食品的歷史沿革.以及產品製作過程透明化以外.同時也融入許多互動趣味元素。透過有趣與簡單的小遊戲和介紹.讓大小朋友都能輕鬆學習烘焙文化。
39,北部,新竹市,春池綠能玻璃觀光工廠,新竹市香山區牛埔南路372號,03-5389165,http://www.hcspg.com.tw,"""24.794325,120.932484""",深度新竹地方文化行旅。透過專業導覽解說，認識玻璃、瞭解台灣玻璃歷史及回收利用過程。國寶級工藝師現場製作玻璃藝術，品味精湛工藝技術，感受產業魅力與DIY製作體驗， 透過創意留下難得回憶。
40,北部,新竹縣,濟生Beauty兩岸觀光生醫美學健康館,新竹縣湖口鄉新竹工業區實踐路3號,0800-213568,http://www.cscp.com.tw,"""24.869832,121.018234""",新竹縣第一且唯一榮獲雙認證的觀光工廠，也是結合產業文化、教育學習的健康美學活體工廠，館內分為五大區，帶給消費者健康概念並讓消費者買的放心、吃的安心。
41,北部,苗栗縣,百茶文化園區觀光工廠,苗栗縣頭屋鄉象山村8鄰象山路188號,037-252667,http://www.mrteago.com,"""24.578122,120.858018""",百茶匯觀光工廠位於國道1號126K頭屋交流道出口處，規劃為養生茶、道之驛、咖啡、客家餐廳、養生藝傳中心與旅遊服務中心，擴大社會服務，將養生文化與體驗普及社會各地。
42,北部,苗栗縣,冠軍綠概念館,苗栗縣造橋鄉豐湖村一鄰乳姑山2號,037-583775#1322、1323,http://www.champion.com.tw,"""24.625004,120.852795""",身為磁磚業龍頭，冠軍興建磁磚產業首座綠色磁磚觀光工廠，用行動倡導與大自然共生，實踐深耕地方回饋鄉里的承諾，提供高品質磁磚、專業技術、豐富產業知識，教育下一代關心歷史智慧及綠色文化。
43,北部,苗栗縣,國泰玻璃觀光工廠,苗栗縣竹南鎮新南里24鄰崁頂151號,037-614118,http://www.glasspark.com.tw,"""24.692704,120.881616""",結合休閒、體驗、益智的玻璃觀光工廠，參觀行程有專人廠區導覽、玻璃知識介紹、工藝老師手作玻璃示範、口吹DIY教學、親子DIY等豐富內容。珍貴的文化行腳、感動的玻璃體驗，不容錯過！
44,北部,苗栗縣,臺鹽通霄鹽來館,苗栗縣通霄鎮內島里122號,037-792121#825,http://tesf.tybio.com.tw/,"""24.55635,120.704201""",園區設有鹽來館、溫泉泡腳區、文創園區、鹽鄉小棧及富教育歷史意涵的鹽宗雕像...豐富有趣的設施內容，可預約進入工廠區一覽產製鹽、水生產線、多元呈現鹽業文化，是兼具教育與休閒的觀光景點。
45,北部,苗栗縣,立康健康養生觀光工廠,苗栗縣頭份鎮蘆竹里工業路55號,03-7613496,http://www.likang.com.tw,"""24.674084, 120.885692""",設有美容保養品，保健食品，酸痛貼布製造廠。規畫時光走廊舊製造機區，百草園區，藝品珍藏展示，生產設備製造流程參觀。美容保養品生產各種膚質專用面膜生產線，精華液、精華露、防曬乳多元化產品。專業講師企業介紹及健康講座，獲得健康保健知識。
46,中部,台中市,台灣味噌釀造文化館,台中市豐原區三村里西勢路701號,04-25320279,http://www.weijung.com,"""24.234156,120.700602""",台灣第一座【味噌釀造文化館】館內館外展示釀造文化精神，味噌知性之旅可以了解味噌歷史、工法、種類、食用與保存，透過DIY味噌與手工皂體驗釀造樂趣，製作屬於自己的味噌。
47,中部,台中市,台灣氣球博物館,台中市神岡區大豐路5段505號,04-25284525,http://www.balloonmuseum.com.tw/,"""24.247356,120.699081""",館內規劃了豐富的知識之旅、好玩的DIY活動與氣球遊戲。您知道氣球是如何做出來的嗎?氣球為什麼會有捲嘴?氣球為什麼要放進烘衣機?氣球要怎樣印刷?有趣的答案就在這裡!
48,中部,台中市,張連昌薩克斯風博物館,台中市后里區公安路330之1號,04-25562363 04-25578989,http://www.sax.org.tw,"""24.312397,120.694792""",薩克斯風有天鵝般優雅的外型，還有『魔鬼般』具穿透力的聲音，全台灣唯一「張連昌薩克斯風博物館」，親自感受製程繁瑣、簡易吹奏，及DIY體驗。
49,中部,台中市,順天堂觀光工廠,台中市工業區42路16號,0800-070199,http://www.suntenherb.com.tw/sunten/show.php,"""24.173201,120.584355""",「順天堂集團」推出知性養生之旅，讓大家親身一探科學中藥製造的真面貌，漢方諮詢師針對時下的養生議題與遊客互動，還有免費試吃試飲的活動，讓遊客在旅程中體驗漢方養生的新樂趣。
50,中部,台中市,意得客超導熱奈米博物館,台中市大肚區沙田路3段245巷83號,04-26990189,http://www.heatact.com.tw/show/,"""24.16574,120.537716""",創立於1978年，專研於電熱研發，將科技運用在人造衛星而成立國內第一家博物館，讓各界人士了解科技運用進而達到環保減碳，低電磁波，由淺入深導覽解說，開放DIY教學及觀摩，進而達到寓教於樂。
51,中部,台中市,鞋寶觀光工廠,台中市西屯區工業區八路11號,04-23590112#116,http://shoeswonderland.bestmotion.com,"""24.171961,120.603991""",每雙鞋背後都蘊藏著一段美麗的故事…到鞋寶觀光工廠追尋台灣鞋業風光歲月痕跡、感受傳統與科技製鞋工藝、MIT鞋品檢測、體驗客製量腳，深度認識台灣好鞋，一同進入鞋子探索的豐富殿堂。
52,中部,台中市,寶熊漁樂館,台中市潭子區中山路三段11號,04-3501-3338,http://www.okuma.com.tw,"""24.220182,120.706291""",全球知名釣具品牌「okuma」寶熊漁具所成立亞洲第一家釣具觀光工廠，延續企業「創造釣魚休閒生活的樂趣」使命，提供釣魚知識、釣具介紹與結合觀光旅遊，成為最具寓教「漁」樂的釣魚殿堂。
53,中部,台中市,臺灣菸酒(股)公司台中觀光酒廠,台中市西屯區協和里工業28路2號,04-23501318#430、452,http://event.ttl-eshop.com.tw/tc,"""24.164551,120.598778""",台中酒廠環境優美，小橋流水、綠樹成蔭，廠區規劃為自由參觀景點區及生產區，綠地面積約10公頃，以庭園造景為主，並結合廠區內有「酒文物館」，可一覽酒文物及歷史具有文化氣息，歡迎預約導覽及參加DIY體驗課程。
54,中部,台中市,老樹根魔法木工坊, 台中市南區樹義路63號,04-22628621,http://www.mutou-wood.com,"""24.10984,120.652757""",老樹根魔法木工坊設有DIY手動館、木偶體驗館、樂活木工館、木藝驚奇館、木頭鳥咖啡館及冰淇淋館，加上景觀遊具區、土埆厝三合院、獨角仙小棧及阿嬤的菜園等，適合親子體驗木頭、玩木頭、彩繪木頭，是處處充滿驚奇的木頭夢想樂園。
55,中部,台中市,阿聰師糕餅文化館,台中市大安區福興里興安路168號,04-26711477,http://www.o-nongs.com.tw,"""24.350889,120.612373""",阿聰師芋頭文化館位於台中市大安區，是全台灣唯一一家芋頭觀光工廠，結合當地產業文化與旅遊新型態，讓遊客能開心遊園的好去處，透過DIY親手體驗做餅的樂趣外，以傳承在地產業文化的好地方。
56,中部,台中市,台灣印刷探索館,台中市大里區中興路一段288號,04-24951001,http://twin.ppmof.gov.tw,"""24.087157,120.696514""",「臺灣印刷探索館」為全臺灣第一個印刷產業觀光工廠，有著全臺灣最大的書，更是第一個開放統一發票印刷製程讓大朋友、小朋友一窺究竟、寓教於樂的好去處。我們秉持著產業傳承與啟發教育的初衷，透過互動體驗的遊戲方式，期望把印刷的美好呈現給大家，歡迎大家手牽手一起來「臺灣印刷探索館」和我們的印刷古騰堡先生當好朋友喔!!
57,中部,彰化縣,中興穀堡稻米博物館,彰化縣埤頭鄉彰水路二段526號,04-8926088,http://www.ricecastle.com.tw,"""23.870175,120.459213""",可學習稻米文化及知識，體驗爆米香、碾米樂及製作專屬稻草人等豐富的DIY課程，館內提供獨有米零食與甜點、幸麩米茶與台灣米咖啡、精緻喜米禮盒多樣化產品，期待您一同來感受中興穀堡的魅力！
58,中部,彰化縣,台灣玻璃館,彰化縣鹿港鎮鹿工南四路30號,04-7811299#266、#229,http://www.timingjump.com.tw,"""24.068678,120.395063""",廠區結合台灣生態、文化之玻璃藝術，展示生活玻璃、世界之最作品、工程內裝、藝術創作、資訊知性、親子體驗等，提供玻璃的發展歷史、基本素材、製程等知識，能一次滿足所有玻璃相關知識與資訊。
59,中部,彰化縣,白蘭氏健康博物館,彰化縣鹿港鎮彰濱工業區鹿工路18號,04-7810077,http://www.brands.com.tw/museum/index.html,"""24.077666,120.400452""",多媒體互動式之展示設施，讓您透過最新科技了解健康概念；水簾式養殖魔幻劇場利用虛擬影像和真實模型疊合的動畫呈現鷄隻的養殖過程；廠內透明參觀走道可清楚看到雞精生產過程，喝得更安心
